Title,Source title,Year,DOI,Cited by,term_loc
The impact of AIDS on the Botswana civil service: A case study of the police and prison services,International Journal of Public Administration,2010,10.1080/01900690903427729,3,abstract
The public pension system in Romania: Myths and facts,Transylvanian Review of Administrative Sciences,2011,,8,abstract
Fast-track urban freeway rehabilitation with 55-H weekend closures: I-710 long beach case study,Journal of Construction Engineering and Management,2006,10.1061/(ASCE)0733-9364(2006)132:5(465),15,abstract
Pension reforms in India: Unresolved issues and policy choices,Vikalpa,2003,10.1177/0256090920030102,1,abstract
Achievement age—death age correlations alone cannot provide unequivocal support for the precocity—longevity hypothesis,Journal of Psychology: Interdisciplinary and Applied,2004,10.3200/JRLP.138.4.293-302,4,abstract
The evolution of the conditional joint distribution of life expectancy and per capita income growth,Advances in Econometrics,2009,10.1108/S0731-9053(2009)0000025008,2,title
Economic implications and sustainability of micropensions in the era of pension reforms in India,International Research Journal of Finance and Economics,2009,,3,abstract
Track roller and idler design improvement using DFSS,International Journal of Six Sigma and Competitive Advantage,2009,10.1504/IJSSCA.2009.024213,5,abstract
Racial disparities in health and wealth: The effects of slavery and past discrimination,Review of Black Political Economy,2005,10.1007/s12114-005-1007-9,32,abstract
Cost-effectiveness analysis of entecavir versus lamivudine in the first-line treatment of australian patients with chronic hepatitis B,Applied Health Economics and Health Policy,2008,10.1007/bf03256136,14,INDEX_KW_ONLY
The relationship between health care expenditure and health outcomes: Evidence and caveats for a causal link,European Journal of Health Economics,2006,10.1007/s10198-005-0336-8,310,abstract
The validity of QALYS under non-expected utility,Economic Journal,2005,10.1111/j.1468-0297.2005.00999.x,44,INDEX_KW_ONLY
The a.r. bergstrom prize in econometrics: 2007,Econometric Theory,2008,10.1017/S0266466608080705,0,abstract
Incorporating insurance rate estimates and differential mortality into the net marginal Social Security tax rate calculation,Public Finance Review,2004,10.1177/1091142104266970,1,abstract
Understanding mid-life and older age mortality declines: Evidence from Union Army veterans,Journal of Econometrics,2003,10.1016/S0304-4076(02)00159-8,34,INDEX_KW_ONLY
Aging and the financing of social security in Switzerland,Swiss Journal of Economics and Statistics,2011,10.1007/BF03399345,3,abstract
The role of knowledge accumulation in health and longevity: The puzzling case of suicide,Prometheus: Critical Studies in Innovation,2007,10.1080/08109020701531403,6,abstract
Assessing China's economic performance since 1978: Material attainments and beyond,Journal of Socio-Economics,2005,10.1016/j.socec.2004.09.060,11,abstract
Factors affecting life cycle of motor control centers,"Plant Engineering (Barrington, Illinois)",2005,,0,abstract
Living to 100 and Beyond: Implications of Longer Life Spans,North American Actuarial Journal,2002,10.1080/10920277.2002.10596056,1,abstract
Viability analysis of financial markets on life settlements and other instruments linked to life expectancy: A reference to the spanis case; [Análise de viabilidade de mercados financeiros de acordos de vida e doutros instrumentos vinculados á esperanza de vida: Unha referencia ao caso español],Revista Galega de Economia,2011,,1,title
James Fisher to buy UK RN's submarine rescue equipment,Jane's Defence Weekly,2006,,0,abstract
"China’s ageing, risk of the elderly and accounting for aged care",Managerial Finance,2003,10.1108/03074350310768788,4,abstract
Public health conditions and policies in the Asia Pacific region,Asian-Pacific Economic Literature,2001,10.1111/1467-8411.00102,8,abstract
Impact of early intervention and disease modification in patients with predementia Alzheimer's disease: A Markov model simulation,ClinicoEconomics and Outcomes Research,2011,10.2147/ceor.s22265,51,INDEX_KW_ONLY
Pensions reforms in acceding countries,Revue de l'OFCE,2004,10.3917/reof.075.0055,3,abstract
The value of a statistical life: theoretical and empirical evidence.,Applied health economics and health policy,2002,,14,INDEX_KW_ONLY
Are emerging markets catching up with the developed markets in terms of consumption?,Journal of Global Marketing,2011,10.1080/08911762.2011.558812,13,abstract
Assessing gender inequality in the Turkish pension system,International Social Security Review,2008,10.1111/j.1468-246X.2008.00309.x,20,abstract
Estimating stroke-free and total life expectancy in the presence of non-ignorable missing values,Journal of the Royal Statistical Society. Series A: Statistics in Society,2010,10.1111/j.1467-985X.2009.00610.x,16,title
The use of recycled fibres and its limits; [Die Verwendung von Altpapier und Dessen Grenzen],International Paperworld IPW,2007,,1,abstract
Working life expectancies: The case of Finland 1980-2006,Journal of the Royal Statistical Society. Series A: Statistics in Society,2005,10.1111/j.1467-985X.2005.00364.x,18,title
"The color of child mortality in Brazil, 1950-2000: Social progress and persistent racial inequality",Latin American Research Review,2010,,18,abstract
Welfare effects of alternative pension reforms. Assessing the transition costs for French socio-occupational groups,Journal of Pension Economics and Finance,2005,10.1017/S1474747205001927,7,abstract
Population and demographic phenomena. Specific features of the rural environment,Quality - Access to Success,2011,,0,abstract
Russian education in the mirror of demography,Voprosy Ekonomiki,2003,10.32609/0042-8736-2003-7-4-25,0,abstract
Hammer time,Recycling Today,2004,,0,abstract
Pension reform and demographic uncertainty the case of Germany,Journal of Pension Economics and Finance,2006,10.1017/S1474747205002209,27,abstract
"On measuring aggregate ""social efficiency""",Economic Development and Cultural Change,2005,10.1086/425380,20,abstract
"Beyond income: Convergence in living standards, big time",Structural Change and Economic Dynamics,2003,10.1016/S0954-349X(02)00047-4,89,abstract
Demographic and medical characteristics of working-age population in Russia,Studies on Russian Economic Development,2009,10.1134/S1075700709040091,0,abstract
Broadcasting and development: Options for the world bank,World Bank Working Paper,2003,,1,abstract
Changing lifestyles challenge all market,Nonwovens Industry,2008,,0,abstract
Entrepreneurial Women and Life Expectancy,New England Journal of Entrepreneurship,2002,10.1108/NEJE-05-02-2002-B004,3,title
Ethnodemographic factor of development of economy of Ural's regions,Economy of Regions,2011,10.17059/2011-1-5,0,abstract
Secular changes in the height of the inhabitants of Anatolia (Turkey) from the 10th millennium B.C. to the 20th century A.D.,Economics and Human Biology,2011,10.1016/j.ehb.2010.12.003,19,INDEX_KW_ONLY
"Population sizes, birth and death rates",International Symposia in Economic Theory and Econometrics,2008,10.1016/S1571-0386(07)00014-2,0,abstract
Managing longevity risk under adverse selection: The influence of policyholder age and contract duration,Zeitschrift fur die gesamte Versicherungswissenschaft,2011,10.1007/s12297-011-0160-4,0,abstract
Incidence-based estimates of life expectancy of the healthy for the UK: Coherence between transition probabilities and aggregate life-tables,Journal of the Royal Statistical Society. Series A: Statistics in Society,2008,10.1111/j.1467-985X.2007.00497.x,7,title
Foundational principles of welfare economics underlying the life quality index for efficient risk management,International Journal of Risk Assessment and Management,2007,10.1504/IJRAM.2007.014664,10,abstract
A multi-perspective approach for defining neighbourhood units in the context of a study on health inequalities in the Quebec City region,International Journal of Health Geographics,2007,10.1186/1476-072X-6-27,61,abstract
Use of a decision analysis model to assess the medicoeconomic implications of FDG PET imaging in diagnosing a solitary pulmonary nodule,European Journal of Health Economics,2005,10.1007/s10198-005-0279-0,44,INDEX_KW_ONLY
The Economic Impacts of the Tobacco Settlement,Journal of Policy Analysis and Management,2002,10.1002/pam.1037,43,INDEX_KW_ONLY
Rethinking Retirement in the Context of an Aging Workforce,Journal of Career Development,2003,10.1023/A:1026164111988,49,abstract
The image of old age at the birth of Europe; [L'image de la vieillesse à la naissance de l'Europe],Retraite et Societe,2001,,0,abstract
"Lifestyles and need for assistance after age 75, comparative data in 1989 and 1999; [Modes de vie et besoin d'aide après 75 ans, données comparées en 1989 et 1999]",Retraite et Societe,2006,,0,abstract
"Employees with diminished performance; [Leistungsgeminderter mitarbeiter, quo vadis?]",ZWF Zeitschrift fuer Wirtschaftlichen Fabrikbetrieb,2002,10.3139/104.100587,1,abstract
Diffusion of information and communication technologies: A takeoff analysis,International Journal of Business Information Systems,2010,10.1504/IJBIS.2010.032936,8,abstract
Theobromine rich cocoa powder induces weight loss and changes in lipid profile of obese wistar rats,Discovery and Innovation,2006,,8,abstract
"The impact of new drug launches on longevity: Evidence from longitudinal, disease-level data from 52 countries, 1982-2001",International Journal of Health Care Finance and Economics,2005,10.1007/s10754-005-6601-7,116,abstract
Health expenditure and Nigerian economic growth,"European Journal of Economics, Finance and Administrative Sciences",2011,,18,abstract
Finite lifetimes and government spending in an endogenous growth model,Journal of Economics and Business,2004,10.1016/j.jeconbus.2003.08.002,12,abstract
Mortality among the elderly in sweden 1988–1997,Scandinavian Actuarial Journal,2001,10.1080/034612301750077374,16,author_kw
From the tallest to (one of) the fattest: The enigmatic fate of the American population in the 20th century,Economics and Human Biology,2004,10.1016/j.ehb.2003.12.006,215,INDEX_KW_ONLY
Life-Cycle Consumption and the Age-Adjusted Value of Life,B.E. Journal of Economic Analysis and Policy,2006,10.1515/1538-0645.1524,46,abstract
Globalization: What it is and who benefits,Journal of Asian Economics,2002,10.1016/S1049-0078(02)00162-8,23,abstract
Caloric restriction. Extreme makeover. Eating like a bird may extend your life. But is it worth it?,Fortune,2004,,0,INDEX_KW_ONLY
"An Rx for Russia: more kids, less booze.",Fortune,2001,,1,INDEX_KW_ONLY
Increase in life expectancyand choice of the pension system; [Allongement de l'espérance de vie et choix du système de retraite],Revue Economique,2002,10.2307/3503169,0,title
Increasing life expectancy and the elderly,Economic and Political Weekly,2008,,3,title
Negative binomial version of the Lee-Carter model for mortality forecasting,Applied Stochastic Models in Business and Industry,2007,10.1002/asmb.679,42,author_kw
Symptoms of poverty within a group of land reform beneficiaries in the midlands of Kwazulu-Natal: Analysis and policy recommendations,Agrekon,2004,10.1080/03031853.2004.9523636,4,abstract
The fiscal outlook in Austria: An evaluation with generational accounts,Empirica,2009,10.1007/s10663-009-9105-8,3,abstract
Elderly volunteering and well-being: A cross-european comparison based on SHARE data,Voluntas,2009,10.1007/s11266-009-9096-x,105,abstract
A model for spatial variations in life expectancy; mortality in Chinese regions in 2000,International Journal of Health Geographics,2007,10.1186/1476-072X-6-16,6,title
Basics of electrical switches,"Plant Engineering (Barrington, Illinois)",2002,,0,INDEX_KW_ONLY
Technical Efficiencies of Healthcare System in Major States of India: An Application of NP-RDM of DEA Formulation,Journal of Health Management,2010,10.1177/097206341001200406,17,abstract
Social Security Reform: Exploring the Generational and Racial Divide,Advances in Taxation,2006,10.1016/S1058-7497(06)17003-9,1,abstract
French population statistics in doubt; [La statistique démographique française en question],Futuribles: Analyse et Prospective,2005,10.1051/futur:200530765,0,abstract
Long term freight market index and inferences,Asian Journal of Shipping and Logistics,2011,10.1016/S2092-5212(11)80019-2,13,abstract
The demography of ageing and future policy impacts: A northern Ireland perspective,Journal of the Statistical and Social Inquiry Society of Ireland,2010,,0,abstract
The capacity of social security and health care institutions to adapt to an ageing world,International Social Security Review,2010,10.1111/j.1468-246X.2010.01374.x,32,author_kw
Demogrpahic dynamics in central south Andes; [Dinámica demográfica en los Andes centro-meridionales],Desarrollo Economico,2003,10.2307/3455906,0,INDEX_KW_ONLY
Life Expectancy and Mortality in Very Old Age; [Espérance de vie et mortalité aux âges élevés],Retraite et Societe,2005,,3,title
Millennium development goals for health in Europe and Central Asia: Relevance and policy implications,World Bank Working Paper,2004,,0,abstract
Disability-Global trends and international perspectives,Innovation,2003,10.1080/13511610304511,9,abstract
Measuring quality of life across countries: A multiple indicators and multiple causes approach,Journal of Socio-Economics,2011,10.1016/j.socec.2010.06.002,36,abstract
Socio-Economic Conditions of Workers of Fireworks Industry in Virudhunagar District,Indian Journal of Marketing,2009,,1,abstract
Disposable or reusable?,Nonwovens Report International,2005,,0,abstract
The benefits of health: An insight from endogenous growth theory; [Le bénéfice de la santé: Un apport des théories de la croissance endogène],Revue de l'OFCE,2010,10.3917/reof.112.0087,6,abstract
Lifestyles and use of time in France. The impact on the country of living longer; [Modes de vie et usages du temps en France quand l'allongement de la vie bouleverse les territoires],Futuribles: Analyse et Prospective,2006,10.1051/futur:200631969,0,abstract
Lighting up the night,Machine Design,2005,,0,abstract
Economic analysis of the benefits of installing particule filters on new diesel-engined vehicles; [Analyse économique de la rentabilité des filtres à particules sur les véhicules diesels neufs],Economie et Prevision,2005,10.3406/ecop.2005.7396,1,abstract
Should self-employed persons subject to the statutory pay-as-you-go pension system? Welfare effects of extending compulsory insurance to include self-employed persons; [Selbständige in die gesetzliche Rentenversicherung? Wohlfahrtseffekte einer Ausweitung der Versicherungspflicht],Jahrbucher fur Nationalokonomie und Statistik,2004,10.1515/jbnst-2004-0302,4,abstract
A comparative analysis of the efficacy of the traditional approach and human development index in measuring development,Nigerian Journal of Economic and Social Studies,2003,,0,abstract
Achievements and challenges for health in Africa: The importance of national health systems for MDGS; [Progresos y desafíos para la salud en África Subsahariana: La importancia de los sistemas nacionales de salud para los ODMs],Revista de Economia Mundial,2011,,1,abstract
Les réformes des systèmes de retraite en Europe,Revue de l'OFCE,2001,10.3917/reof.078.0097,10,abstract
Retraites: À la recherche de solutions miracles⋯,Revue de l'OFCE,2009,10.3917/reof.109.0109,3,abstract
"UK real national income, 1950-1998: Some grounds for optimism",National Institute Economic Review,2002,10.1177/002795010218100111,15,abstract
Demographic change and production; [Demografischer Wandel und Produktion],ZWF Zeitschrift fuer Wirtschaftlichen Fabrikbetrieb,2004,10.3139/104.100831,0,abstract
Cajun conference on the consumer climate,Nonwovens Report International,2005,,0,abstract
Deterioration patterns of building cladding components for maintenance management,Construction Management and Economics,2002,10.1080/01446190210125563,83,abstract
Why does health capital increase in the developed countries and decrease in post-soviet Russia? (An attempt at post Keynesian explanation),Voprosy Ekonomiki,2011,10.32609/0042-8736-2011-10-113-131,3,abstract
Health human capital and economic development,Journal of African Economies,2010,10.1093/jae/ejq015,14,INDEX_KW_ONLY
When people who have stopped working should take social security retirement,Journal of Financial Counseling and Planning,2006,,1,abstract
A robust normative evaluation of India's performance in allocating risks of death,Indian Growth and Development Review,2008,10.1108/17538250810868152,1,author_kw
The time for cost-effectiveness in the new European Union member states: The development and role of health economics and technology assessment in the mirror of the Hungarian experience,European Journal of Health Economics,2007,10.1007/s10198-007-0046-5,15,INDEX_KW_ONLY
Das Vorhersagerisiko der Sterblichkeitsentwicklung - Kann es durch eine geeignete Portfoliozusammensetzung minimiert werden?,Blaetter der DGVFM,2008,10.1007/s11857-008-0039-1,6,abstract
An American journalist's day in 2890 (futures of yesteryear); [La journée d'un journaliste américain en 2890],Futuribles: Analyse et Prospective,2005,10.1051/futur:2005310101,0,abstract
Living better,Finance and Development,2003,,1,abstract
Private Insurance to Cover the Cost of Dependence; [L'assurance privée face à la dépendance],Retraite et Societe,2003,,0,abstract
The demographic revolution according to adolphe landry (1934): From the subordination of peoples to the principle of the rationalization of life (future of yesteryear); [La révolution démographique selon adolphe landry (1934) de la subordination des peuples au principe de rationalisation de la vie],Futuribles: Analyse et Prospective,2009,10.1051/futur/35657,0,abstract
"Older women, health, and social care in Singapore",Asia Europe Journal,2011,10.1007/s10308-011-0290-2,11,abstract
Selection of gear pumps for manmade fiber polymer extrusion,International Fiber Journal,2009,,0,abstract
Health in france: Recent developments; [La santé en France : Les évolutions récentes],Futuribles: Analyse et Prospective,2008,10.1051/futur:200833919,0,abstract
Health indicators and human development in the Arab region,International Journal of Health Geographics,2006,10.1186/1476-072X-5-61,48,abstract
The Sisyphus syndrome in health revisited,International Journal of Health Care Finance and Economics,2005,10.1007/s10754-005-1864-6,45,INDEX_KW_ONLY
Population and nursing care patients-diverging developments in Germany till 2050; [Rückgang der Bevölkerung - Zunahme der Pflegefälle Divergierende Entwicklungen in Deutschland bis 2050],AStA Wirtschafts- und Sozialstatistisches Archiv,2010,10.1007/s11943-010-0074-y,3,abstract
A Framework For Long-Term Actuarial Projections Of Health Care Costs: The Importance Of Population Aging And Other Factors,North American Actuarial Journal,2004,10.1080/10920277.2004.10596168,6,abstract
Ageing and social protection. Pensions: One challenge among others; [Vieillissement et protection sociale: La retraite: Un défiparmi d'autres],Futuribles: Analyse et Prospective,2010,10.1051/futur/36575,1,abstract
Making Federal Pension Policy Work,North American Actuarial Journal,2001,10.1080/10920277.2001.10595956,0,abstract
Ageing and the Government Budget Deficit; [Vieillissement et déficit budgétaire de l'État],Retraite et Societe,2006,,1,abstract
Healthcare reform: How we got to where we,Textile Rental,2009,,0,abstract
Design considerations for retirement savings and retirement income products,Pensions,2011,10.1057/pm.2010.31,2,abstract
Life and death of businesses: A review of research on firm mortality,Journal of Business Valuation and Economic Loss Analysis,2009,10.2202/1932-9156.1050,24,abstract
Bivariate long term fuzzy time series forecasting of dry cargo freight rates,Asian Journal of Shipping and Logistics,2010,10.1016/S2092-5212(10)80002-1,27,abstract
"Mortality decline in Cuba, 1900-1959: Patterns, comparisons, and causes",Latin American Research Review,2005,10.1353/lar.2005.0025,29,abstract
Spunlace: Improvements which enhance production efficiencies and reduce operating costs,Technische Textilien,2001,,2,abstract
Replacing incandescent lamps with LEDs,"Plant Engineering (Barrington, Illinois)",2005,,0,INDEX_KW_ONLY
Battleground of cross-over products,Medical Textiles,2004,,0,abstract
A multivariate time series approach to projected life tables,Applied Stochastic Models in Business and Industry,2009,10.1002/asmb.781,37,abstract
"Causality between poverty, health expenditure and health status: Evidence from nigeria using VECM","European Journal of Economics, Finance and Administrative Sciences",2010,,6,abstract
A practical roadmap for the perilous journey from a culture of entitlement to a culture of accountability,Journal of Healthcare Management,2011,10.1097/00115514-201109000-00004,1,INDEX_KW_ONLY
Health and income variation - a panel data study on the developed and less developed economies,International Economic Journal,2011,10.1080/10168737.2010.504217,0,abstract
Utilization and comparison of multi attribute decision techniques to rank countries upon human development rate,International Research Journal of Finance and Economics,2010,,10,abstract
"Hypolipidemic effects of ethanol extracts of Citrus depressa and Annona atemoya, typical plant foodstuffs in Okinawa, Japan on KKAy mice fed with moderately high fat diet",Food Science and Technology Research,2009,10.3136/fstr.15.553,6,abstract
"Chile: Early retirement, impatience and risk aversion",Cepal Review,2011,10.18356/b0f612fc-en,1,abstract
Outlier analysis and mortality forecasting: The United Kingdom and Scandinavian countries,Scandinavian Actuarial Journal,2005,10.1080/03461230510006973,41,abstract
"Sources of U.S. longevity increase, 1960-2001",Quarterly Review of Economics and Finance,2004,10.1016/j.qref.2004.05.005,66,author_kw
Two-dimensional hazard estimation for longevity analysis,Scandinavian Actuarial Journal,2004,10.1080/034612301101016516,8,abstract
"Lifetime earnings, mortality, and Social Security benefits: Implications for reform",Journal of Applied Business Research,2009,,0,abstract
Association of time preference for health with age and disease severity,European Journal of Health Economics,2002,10.1007/s10198-002-0102-0,4,INDEX_KW_ONLY
The effects of the pension reform on the retirement age of contributors to the general scheme; [Les effets de la réforme sur l'âge de départ en retraite au régime général],Retraite et Societe,2006,,1,abstract
"Endogenous longevity, health and economic growth: A slow growth for a longer life?",Economics Bulletin,2004,,28,abstract
"Peculiarities of FDI performance in developed, developing and underdeveloped countries; [Tiesioginių užsienio investicijų veiklos ypatumai išsivysčiusiose, besivystančiose ir neišsivysčiusiose šalyse]",Business: Theory and Practice,2011,10.3846/btp.2011.06,2,abstract
The Gulf of Mexico decommissioning market,Journal of Construction Engineering and Management,2006,10.1061/(ASCE)0733-9364(2006)132:8(815),0,abstract
The welfare costs of HIV/AIDS in Eastern Europe: An empirical assessment using the economic value-of-life approach,European Journal of Health Economics,2010,10.1007/s10198-009-0177-y,3,INDEX_KW_ONLY
"Labor productivity, costs, and mine survival during a recession",Resources Policy,2001,10.1016/S0301-4207(01)00012-5,22,abstract
Changing retirement age: Ups and downs,Monthly Labor Review,2001,,34,abstract
The unequal burden of war: The effect of armed conflict on the gender gap in life expectancy,International Organization,2006,10.1017/S0020818306060231,217,title
The HIV-AIDS pandemic in Africa: Its implications for human development in the continent and the critical issues in its control: Country report for South Africa presented by the Academy of Science of South Africa (ASSAf),Discovery and Innovation,2005,,0,abstract
International retirement migration and tourism along the Lake Chapala Riviera: Developing a matrix of retirement migration behaviour,Tourism Geographies,2002,10.1080/14616680210147427,105,abstract
New indicators of 30 OECD countries' pension systems,Journal of Pension Economics and Finance,2006,10.1017/S1474747206002642,11,abstract
Les politiques de prise en charge des personnes âgées dépendantes,"Travail, Genre et Societe",2001,10.3917/tgs.006.0083,26,abstract
"Which last longer, single or double nuts?",Machine Design,2004,,0,abstract
Regional policy responses to demographic challenges and opportunities,European Research Studies Journal,2009,,2,abstract
Real deposit insurance coverage: An international study,Journal of Applied Business Research,2009,,0,abstract
"Was there an urban height penalty in Spain, 1840-1913?",Economics and Human Biology,2007,10.1016/j.ehb.2006.09.001,82,INDEX_KW_ONLY
Shrieking for a solution,Folding Carton Industry,2002,,0,abstract
Determining safety of materials & additives for wipes,Nonwovens Industry,2007,,0,abstract
Using competence network collaboration and decision-analytic modeling to assess the cost-effectiveness of interferon α-2b plus ribavirin as initial treatment of chronic hepatitis C in Germany,European Journal of Health Economics,2005,10.1007/s10198-005-0280-7,17,abstract
A mutual fund to yield annuity-like benefits,Financial Analysts Journal,2007,10.2469/faj.v63.n1.4408,14,abstract
The impact of education on subjective discount rate in ugandan villages,Economic Development and Cultural Change,2010,10.1086/652475,46,abstract
Why Do Females Live Longer Than Males?,North American Actuarial Journal,2002,10.1080/10920277.2002.10596061,12,abstract
Central Europe Disquieting Demographic Trends; [Europe centrale. Des trajectoires démographiques inquiétantes],Courrier des Pays de l'Est,2003,,1,abstract
Do people really care about the arts for future generations?,Journal of Cultural Economics,2004,10.1007/s10824-004-2984-4,9,abstract
Scale of reference bias and the evolution of health,European Journal of Health Economics,2003,10.1007/s10198-003-0196-z,8,abstract
Comparisons of mortality modelling and forecasting - Empirical evidence from Taiwan,International Research Journal of Finance and Economics,2010,,4,abstract
New evidence coupled with a wider perspective suggest sizable economic returns to better health,Finance and Development,2004,,88,abstract
"Women's working futures - Views, policies and cohoices",Foresight,2003,10.1108/14636680310508991,6,abstract
Optimizing the initiation of Social Security benefits,Financial Services Review,2006,10.61190/fsr.v15i4.4868,10,abstract
Estimation of life expectancy in the Middle Ages,Journal of the Royal Statistical Society. Series A: Statistics in Society,2003,10.1111/1467-985X.00261,29,title
Cost effectiveness of establishing a neonatal screening programme for phenylketonuria in libya,Applied Health Economics and Health Policy,2010,10.2165/11535530-000000000-00000,14,INDEX_KW_ONLY
Impacts on Economic Security Programs of Rapidly Shifting Demographics,North American Actuarial Journal,2001,10.1080/10920277.2001.10595951,2,abstract
Longevity and ageing in the 21st century; [La longévité et le vieillissement au XXIe siècle],Retraite et Societe,2002,,1,abstract
Hot tips on temperature specs,Machine Design,2007,,0,abstract
Die Auswirkungen der steigenden Lebenserwartung auf die Prävalenz der Pflegebedürftigkeit in Deutschland,Zeitschrift fur die gesamte Versicherungswissenschaft,2009,10.1007/s12297-008-0045-3,8,abstract
Tradable Environmental Pollution Credits: A New Financial Asset,Review of Accounting and Finance,2002,10.1108/eb026997,5,abstract
Studies on life table characteristics of culex pipiens quinquefasciatus Wuhan strain,Journal of Tongji Medical University,1988,10.1007/BF02887901,2,abstract
Ethics and Organizational Change,Asia Pacific Journal of Human Resources,1991,10.1177/103841119102900109,5,abstract
GETTING IT TOGETHER WITH CABLE TIES.,Machine Design,1986,,0,INDEX_KW_ONLY
Minimal programme of exit from crisis; [Minimalni Program izlaska iz krize],Ekonomski Pregled,2000,,1,abstract
"Diet, mortality and life expectancy A cross national analysis",Journal of Population Economics,1989,10.1007/BF00161480,12,title
A proper separation of solids from liquids,TUT Textiles a Usages Techniques,1996,,0,abstract
More evidence on the role of secondary education in the development of lower-income countries: Wishful thinking or useful knowledge?,Economic Development and Cultural Change,1999,10.1086/452450,7,abstract
Assessing the impact of demographic ageing on the welfare state in Italy: A dynamic simulation,Statistical Journal of the United Nations Economic Commission for Europe,1996,10.3233/sju-1996-13305,0,abstract
The handling of acceptable risks,Journal of the Operational Research Society,1988,10.1057/jors.1988.108,3,INDEX_KW_ONLY
IMPROVE CONVENTIONAL IGNITION SYSTEMS WITH A TRANSISTOR-ASSISTED APPROACH.,Electronic Design,1976,,0,abstract
Polyamide clutch-ring reinforced with glass fibre,Advanced Composites Bulletin,1998,,0,abstract
OPERATING COSTS AND PERFORMANCE OF LARGE-VOLUME SUBMERGIBLE PUMPS.,"JPT, Journal of Petroleum Technology",1972,10.2118/3340-pa,0,abstract
Mid-career change the ingredients for success,Employee Relations,1994,10.1108/01425459410073997,12,abstract
The role of public health in the reproduction of labor resources,"Voprosy ekonomiki / Akademiia nauk SSSR, Institut ekonomiki",1981,,0,INDEX_KW_ONLY
Expert judgments of political riskiness,Journal of Forecasting,1987,10.1002/for.3980060105,16,abstract
INCOME REDISTRIBUTION VERSUS ACCELERATED ECONOMIC GROWTH: A COMPARISON OF DEMOGRAPHIC EFFECTS,Oxford Bulletin of Economics and Statistics,1984,10.1111/j.1468-0084.1984.mp46003004.x,2,INDEX_KW_ONLY
Study of the economic benefits of valve commissioning during pipeline construction,Pipes and Pipelines International,2000,,0,abstract
Life expectancy of international cartels: An empirical analysis,Review of Industrial Organization,1994,10.1007/BF01025729,19,title
An improvement to Kamerud’s Mortality-risk and life-expectancy model,Journal of the Operational Research Society,1990,10.1057/jors.1990.185,2,title
Mortality risk and life expectancy,Journal of the Operational Research Society,1989,10.1057/jors.1989.25,4,title
FINE-BLANKING MEETS A PRESSING ECONOMIC NEED.,Sheet Metal Industries,1976,,0,abstract
Niche markets,TUT Textiles a Usages Techniques,1996,,0,abstract
A turning point in availability of soviet economic statistics?,Soviet Economy,1986,10.1080/08826994.1986.10641262,4,abstract
"Heads, feds, and beds: ethical dilemmas in the delivery of medical care.",Business & professional ethics journal,1990,,1,INDEX_KW_ONLY
Intergenerational transfers in industrialised countries - Effects of age distribution and economic institutions,Journal of Population Economics,1989,10.1007/BF00166068,8,abstract
Recent trends in the condition of children in India: A statistical profile,World Development,1984,10.1016/0305-750X(84)90065-2,1,abstract
FLOW AND PRESSURE FUNDAMENTALS FOR PIPING SYSTEMS - 8. PRESSURE-REGULATING VALVES.,Plant Eng (Barrington Ill),1973,,0,abstract
A confidence interval for the mortality of a non-homogeneous collective of persons; [Ein konfidenzintervall für sterbewahrscheinlichkeiten bei inhomogenen personengesamtheiten],Blätter der DGFVM,1993,10.1007/BF02809408,0,abstract
Evaluation of acceptable risk,Journal of the Operational Research Society,1986,10.1057/jors.1986.96,9,abstract
Actuarial issues in the novels of jane austen,North American Actuarial Journal,1997,10.1080/10920277.1997.10595593,2,abstract
Country experience in providing for basic needs.,Finance & development,1979,,13,abstract
Chlorination washer corrosion resurveyed,Pulp and Paper Canada,1988,,6,abstract
Demographic trends in Europe; [L'evolution demographique en Europe.],"Futuribles (Paris, France : 1981)",1993,,6,abstract
A short description of the EC axial rotor bearing,Spinnovation,2001,,0,abstract
PAINTING STEEL STRUCTURES.,"Plant Engineering (Barrington, Illinois)",1978,,0,abstract
Enlarged target image orthicon,NHK Laboratories Note,1971,,0,abstract
Social security: Regressive or progressive?,North American Actuarial Journal,1998,10.1080/10920277.1998.10595687,6,abstract
Women's education and economic well-being,Feminist Economics,1995,10.1080/714042230,226,abstract
POVERTY AND INCOME DISTRIBUTION IN BRAZIL,Review of Income and Wealth,1983,10.1111/j.1475-4991.1983.tb00635.x,8,abstract
Methods for controlling odors- 1,Plant Eng (Barrington Ill),1971,,0,abstract
The demographic situation in the European countries of COMECON; [Sovremennaya demograficheskaya situatsiya v evropeiskikh stranakh SEV],"Voprosy ekonomiki / Akademiia nauk SSSR, Institut ekonomiki",1980,,0,INDEX_KW_ONLY
Industrial revolution and mortality revolution: Two of a kind?,Journal of Evolutionary Economics,1995,10.1007/BF01194368,29,abstract
Did Australian Living Standards Stagnate between 1890 and 1940,The Journal of Economic History,1983,10.1017/S002205070002917X,22,abstract
Adult incontinence products poised for boom in USA,Medical Textiles,1998,,0,abstract
INFORMATION AND THE LIFE CYCLE CONSUMPTION OF HAZARDOUS GOODS,Economic Inquiry,1981,10.1111/j.1465-7295.1981.tb00337.x,22,abstract
The privatization of social security and women's welfare: Gender effects of the chilean reform,Latin American Research Review,1999,10.1017/s0023879100039352,59,abstract
"An assessment of human development, by region and country",Journal of Economics and Finance,1993,10.1007/BF02920080,3,abstract
