Article Title,Source Title,Author Keywords,Abstract,relevance
Intravenous iron for the treatment of iron deficiency anemia in China: a patient-level simulation model and cost-utility analysis comparing ferric derisomaltose with iron sucrose,JOURNAL OF MEDICAL ECONOMICS,China; cost-benefit analysis; costs and cost analysis; intravenous iron; iron deficiency anemia; iron isomaltoside; ferric derisomaltose; iron sucrose; patient-level simulation; resource use,"PLAIN LANGUAGE SUMMARY Ferric derisomaltose (FDI) was approved in February 2021 for the treatment of iron deficiency anemia (IDA) in China and allows for fast iron correction in one visit with a good safety profile. The current standard of care in China is iron sucrose (IS). Clinical and economic decision-making can benefit from having longer-term projections on the benefits and costs of new medications relative to the current standard of care, which is why we conducted the first cost-utility analysis of FDI and IS for China. We developed a patient-level model that captured the effects of the iron formulations on IDA, in addition to incidences of adverse events and hypersensitivity reactions (HSRs) associated with either formulation. Costs of the iron formulations, their administration, and of treatments for adverse events and HSR were modeled alongside the quality of life effects of IDA, adverse events, HSRs, and iron infusions. We used published clinical data and Chinese cost data to inform our model. Our results show that FDI was associated with higher quality-adjusted life expectancy than IS, regardless of the perspective of the analysis, and higher total costs from the healthcare system perspective. From a societal perspective, FDI was associated with lower costs due to reduced travel and waiting time and smaller productivity losses given there were fewer appointments. These results imply that FDI is likely good value for money for the healthcare system and indeed cost-saving for society relative to IS, which has so far been the most widely used IV iron treatment in China. Objectives Two intravenous (IV) iron formulations, ferric derisomaltose (FDI) and iron sucrose (IS), are currently available for the treatment of iron deficiency anemia (IDA) in China. Clinical studies have demonstrated that FDI has an improved efficacy and safety profile versus IS, while requiring fewer infusions to correct iron deficits. Based on these findings, the present study evaluated the costs and benefits of FDI and IS for the treatment of IDA, from a healthcare system and societal perspective in China. Methods A patient-level model was developed to project time to hematological response and incidence of cardiovascular adverse events and hypersensitivity reactions (HSRs) associated with FDI and IS over 5 years. Costs included iron acquisition, administration, and adverse event/HSR treatment costs, based on published studies, fee schedules, and a physician survey. Health state utilities associated with adverse events, HSRs, and the number of infusions were obtained from the literature and a time trade-off survey. Results From a healthcare system perspective, FDI was associated with incremental costs of RMB 1,934 (purchasing power parity USD 462) and incremental quality-adjusted life expectancy of 0.078 quality-adjusted life-years (QALYs) versus IS, yielding an incremental cost-utility ratio of RMB 24,901 (USD 5,949) in the base case scenario. From a societal perspective, FDI was associated with reduced total costs and therefore dominant versus IS. Limitations Limitations included the absence of clinical data specific to China and insufficient data to model persistence with treatment. Conclusions This was the first cost-utility analysis comparing FDI and IS for the treatment of IDA in China. Based on a patient-level model, FDI was found to improve quality of life and reduce administration and adverse events costs relative to IS. Using the 2020 Chinese gross domestic product per capita of RMB 72,447 (USD 17,307) as a cost-effectiveness threshold, FDI would be considered cost-effective in China.",
Data-driven decision making for modelling covid-19 and its implications: A cross-country study,TECHNOLOGICAL FORECASTING AND SOCIAL CHANGE,Big data analytics; Policy-based factors; COVID-19; Number of cases; Number of deaths,"Grounded in big data analytics capabilities, this study aims to model the COVID-19 spread globally by considering various factors such as demographic, cultural, health system, economic, technological, and policy-based. Classified values on each country's case, death, and recovery numbers (per 1000,000 population) were used to represent COVID-19 spread. Data sets also included 29 input variables for the corresponding six factors, containing data from 159 countries. The proposed model used a Multilayer Perceptron algorithm. The results show that each of the pre-mentioned factors significantly affects disease spread. Urban population, median age, life expectancy, numbers of medical doctors and nursing personnel, current health expenditure as a % of GDP, international health regulations capacity score, continent, literacy rate, governmental response stringency index, testing policy, internet usage %, human development index and GDP per capita were identified as significant. Taking early measures and adopting open public testing policies were recommended to policymakers in fighting pandemic diseases since the created scenarios on policy-based factors revealed their importance.",
The long-term impact of functional disability on hospitalization spending in Singapore,JOURNAL OF THE ECONOMICS OF AGEING,Disability; Ageing; Microsimulation; Hospitalization; Spending,"Singapore is one of the fastest-aging populations due to increased life expectancy and lowered fertility. Lifestyle changes increase the burden of chronic diseases and disability. These have important implications for social protection systems. The goal of this paper is to model future functional disability and healthcare expenditures based on current trends. To project the health, disability and hospitalization spending of future elders, we adapted the Future Elderly Model (FEM) to Singapore. The FEM is a dynamic Markov microsimulation model developed in the US. Our main source of population data was the Singapore Chinese Health Study (SCHS) consisting of 63,000 respondents followed up over three waves from 1993 to 2010. The FEM model enables us to investigate the effects of disability compounded over the lifecycle and hospitalization spending, while adjusting for competing risk of multi-comorbidities. Results indicate that by 2050, 1 in 6 elders in Singapore will have at least one ADL disability and 1 in 3 elders will have at least one IADL disability, an increase from 1 in 12 elders and 1 in 5 elders respectively in 2014. The highest prevalence of functional disability will be in those aged 85 years and above. Lifetime hospitalization spending of elders aged 55 and above is US$24,400 (30.2%) higher among people with functional disability compared to those without disability. Policies that successfully tackle diabetes and promote healthy living may reduce or delay the onset of disability, leading to potential saving. In addition, further technological improvements may reduce the financial burden of disability.",
Long-term cross-effects between health and income: Mexico 1950-1995,TRIMESTRE ECONOMICO,,"We study the horizon and magnitude of the effects of life expectancy and mortality by age and gender groups on economic growth in Mexico, 19501995, using a Granger causality test in economic growth equations. Results indicate stronger causality for longer periods up to 25 years. The effects have a high magnitude of about 2% annual growth for this period. Conditions under which this magnitude is consistent with a series of other studies are discussed. Especially important are: considering many channels of long-term effects and a context of strong economic growth. Significant causality from income to life expectancy is also detected.",
Increasing the Public Pension Age: Employers' Concerns and Policy Preferences,WORK AGING AND RETIREMENT,,"Governments increasingly focus on extending working lives by raising public pension ages and in some cases by linking pension ages to changes in the life expectancy. This study offers novel insights into how employers perceive such reforms and their consequences for their organization. A survey among employers (N = 1,208) has been carried out in 2017 to examine their reactions to a recent pension reform in the Netherlands. Statistical analyses are performed to examine employers' support for the current policy of linking the public pension age to changes in average life expectancy, as well as the support for 2 alternative policies that are often considered in public policy debates: a flexible public pension age; and a lower public pension age for workers in physically demanding jobs. Results show that particularly employers in construction and industry are extremely concerned about the physical capability of employees to keep on working until the public pension age. These concerns are the driving forces behind the lack of support for linking public pension ages to changes in average life expectancy (22% support) and the overwhelming support for a lower public pension age for physically demanding jobs (82%). The introduction of a flexible pension age (78% support) is not firmly related to employers' concerns about capability or employability of older workers.",
Education and health in Europe,APPLIED ECONOMICS,Health satisfaction; education; life satisfaction; public health costs,"The productive and allocative theories predict that education has positive impact on health: the more educated adopt healthier life styles and use more efficiently health inputs, and this explains why they live longer. We find partial support for these theories with an econometric analysis on a large sample of Europeans aged above 50 documenting a significant and positive correlation among education years, life styles, health outputs and functionalities. We however find confirmation for an anomaly already observed in the United States, namely the more educated are more likely to contract cancer. Our results are robust when controlling for endogeneity and reverse causality in IV estimates with instrumental variables related to quarter of birth and neighbours' cultural norms.",
Optimal demand for medical and long-term care,JOURNAL OF THE ECONOMICS OF AGEING,Health; Long-term care; Health behavior; Life expectancy,"For the population over 65, long-term care (LTC) expenditure constitutes a considerable share in health care expenditures. In this paper, we decompose health care into medical care, intended to improve one's state of health, and personal care required for daily routine. Personal care can be either carried out autonomously or by a third party. In the course of aging, autonomous personal care is gradually substituted by LTC. We set up a life-cycle model in which individuals are subject to physiological aging, calibrate it with data from gerontology, and analyze the interplay between medical care and LTC. In comparative dynamic analyses, our theory-based approach allows us to causally investigate the impact of better health and rising life expectancy, triggered by higher income and better medical technology, on the expected expenditures for LTC in the future. We predict that a one percentage increase in life expectancy is associated with a 1.75-percentage increase in expected LTC expenditure. In terms of present value at age 20, this elasticity declines to about 1.0 percent. Even when considering different magnitudes and compositions of shocks in medical technology and income, we find that these elasticities remain remarkably stable.",
Health and Knowledge Externalities: Implications for Growth and Public Policy,"HUMAN CAPITAL AND ECONOMIC GROWTH: THE IMPACT OF HEALTH, EDUCATION AND DEMOGRAPHIC CHANGE",,,
The Use of Age Management to Professional Activiation of the Elderly,MANAGEMENT-POLAND,age management; ageing society; professional activity,"The increase in interest in the topic of aging is associated - to some extent - with the currently unavoidable demographic changes. On the one hand, life expectancy increases, on the other hand, fertility rates fall. As a consequence the proportion of younger generations is reduced, and the share of older generations. A disturbing fact has been the low level of economic activity of the elderly, among others in Europe for many years. The reasons for this are complex. However, looking for ways and means that would allow greater involvement of older people in the labour market should be considered. One such method, which in developed countries is gaining more and more interest is the management of age. The purpose of this article is to indicate the extent to which age management can be useful in improving the professional activity of generations of people 50 +. The background to the issue is the statistics on the labor force participation of older people in Europe.",
Immigration and PAYG pension systems in the presence of increasing life expectancy,ECONOMICS LETTERS,Public pensions; PAYG; Migration,"According to Lacomba and Lagos (2010), considering the effect of immigration on pension benefits of native individuals, despite immigrants having low average productivity, an open borders policy would be always implemented since most of current domestic cohorts gain from immigration. In this paper we change the demographic assumptions at the bases of the model of Lacomba and Lagos (2010), assuming increasing life expectancy over time. As a consequence, we find that, in the presence of pay-as-you-go pension systems, there are cases in which an open borders policy would not be implemented and that retirement age and immigrants' skill play an important role in determining the effect of immigration on the welfare of native population. (C) 2017 Elsevier B.V. All rights reserved.",
